contractor_id,contractor_distance_degree,contractor_distance_weighted_degree,contractor_distance_weighted_degree_centrality,contractor_distance_degree_centrality,contractor_distance_betweenness_centrality,contractor_distance_closeness_centrality,contractor_distance_eigenvector_centrality,contractor_distance_pagerank,contractor_distance_clustering_coeff,contractor_distance_eccentricity,contractor_distance_hubs,contractor_distance_authorities,contractor_distance_load_centrality,contractor_distance_current_flow_betweenness_centrality,contractor_distance_current_flow_closeness_centrality,contractor_distance_contractor_distance_mean,contractor_distance_contractor_distance_std,contractor_distance_contractor_distance_median
215,781,284146,0.010880442150020951,0.9738154613466334,1.9578731622597915e-05,0.003201213427533629,0.025476216795637757,0.0007262578074373408,0.00272982907595878,2,0.0011837802544706342,0.0011837802544706333,0.00027524302020645434,0.00022114222791076474,173.29713586026105,355.09850374064837,3255.4485850126225,28.0
599,789,248227,0.009505041470135953,0.983790523690773,2.0140494443074026e-05,0.003234275252148454,0.02285787018406797,0.0006583148275672705,0.0023494250062360013,2,0.0010621159177678988,0.0010621159177678996,1.2972147243211158e-05,0.00014349482992571518,161.84670178599558,309.9201995012469,3047.5213257379205,23.0
653,791,278695,0.010671713925235932,0.986284289276808,2.0239800432093305e-05,0.003263147187468213,0.025425756611437776,0.0007142413812661596,0.002375727863174261,2,0.0011814355668676054,0.0011814355668676054,9.07012637961664e-06,0.00019668572086463217,171.6529382470913,347.80548628428926,3256.1838374224144,20.0
884,787,282163,0.010804509647773897,0.9812967581047382,2.0024860010205245e-05,0.003216943101823068,0.025457954867045805,0.0007218718941336407,0.0025943652459421043,2,0.0011829316940015079,0.0011829316940015079,0.0,0.00021302839665156764,172.70272684515652,352.23940149625935,3255.7390772096664,26.0
391,788,281198,0.010767558127517514,0.9825436408977556,2.0084726052636608e-05,0.003224561347078596,0.02544895218705475,0.0007197553706253163,0.002545205178057982,2,0.0011825133746373663,0.0011825133746373668,0.0,0.0002071130232117349,172.41195925733297,350.9775561097257,3255.863011101847,24.0
731,780,252273,0.009659969813096914,0.9725685785536159,1.948973960055674e-05,0.0031801545666147214,0.022895689948102448,0.0006672206849846858,0.002591763449909989,2,0.0010638732544341663,0.0010638732544341668,2.9576495714521436e-05,0.0001637362638023629,163.21698808972127,315.3291770573566,3047.0147448449356,28.5
113,789,281864,0.010793060420254044,0.983790523690773,2.0140494443074026e-05,0.0032301849099616166,0.02545512352705006,0.000721227147198589,0.0025647948731819105,2,0.001182800132694446,0.0011828001326944465,0.0010608397553909658,0.00021187714600898972,172.6127446551908,351.857855361596,3255.7768667380947,26.0
136,790,259022,0.00991840070450658,0.9850374064837905,2.0192180742221255e-05,0.00309491191849808,0.02295946060709861,0.0006820583101177086,0.002865577561571544,2,0.0010668364277946307,0.00106683642779463,0.0,0.0001940177193406593,165.45623471687395,323.57730673316706,3046.2386081135814,38.0
266,791,284711,0.010902076977943083,0.986284289276808,2.0239800432093308e-05,0.0031837146248417073,0.02548137022175848,0.0007275032903552072,0.002719251562320418,2,0.0011840197140471312,0.001184019714047132,0.0,0.00022337551804045704,173.46572923665366,355.4488778054863,3255.414906772398,30.0
231,792,277474,0.010624959721885627,0.9875311720698254,2.0283368916513192e-05,0.0032784874808380175,0.02541455108429287,0.0007115462439910243,0.002301689024980505,2,0.00118091488980313,0.0011809148898031306,0.0004257224167831695,0.00019070266718177465,171.28016502446917,346.19576059850374,3256.3441784570737,17.0
298,788,282044,0.010799952931804456,0.9825436408977556,2.0084726052636608e-05,0.0032246391379518314,0.025456457984867537,0.0007216476459818231,0.0025853754447339138,2,0.0011828621397352618,0.0011828621397352644,0.0002129926463883641,0.00021135377704684636,172.6669756487329,352.0498753117207,3255.7560931116955,25.0
712,791,283785,0.010866618835189289,0.986284289276808,2.0239800432093305e-05,0.0032101443764434644,0.02547283008808906,0.0007254662469653867,0.002665898704014374,2,0.0011836228874033035,0.0011836228874033054,4.296375166951535e-05,0.00021983427961426327,173.18925080135523,354.26932668329175,3255.5337825800375,28.0
86,788,278039,0.010646594549807759,0.9825436408977556,2.0084726052636605e-05,0.0032708260263134285,0.02541956200734486,0.0007128052186043143,0.0023456961936228326,2,0.0011811477278188048,0.0011811477278188052,0.0020924534837323126,0.00019334545319030767,171.45288184526316,347.072319201995,3256.2572841195124,20.0
34,792,249387,0.009549459877905285,0.9875311720698254,2.0283368916513195e-05,0.003224029876546188,0.022868572270029953,0.0006608799652771187,0.0024031314933832264,2,0.0010626132018876344,0.0010626132018876355,3.700556193387785e-05,0.0001480964319807454,162.24175768778048,311.2581047381546,3047.3957112900384,24.0
455,790,245199,0.009389094109165665,0.9850374064837905,2.0192180742221255e-05,0.0032737232683350955,0.022829361571538465,0.0006516594907903003,0.0021661823022264184,2,0.0010607912339317762,0.0010607912339317754,0.000396945471242359,0.00013014137074755328,160.80712975688914,306.0860349127182,3047.8829395685198,18.0
